100 Block Address,Offense ID,Longitude,Latitude
79XX BLOCK OF WALLINGFORD AVE N,66,-122.336747197363636,47.68630425
1ST AVE NE / WOODLAWN AVE NE,5,-122.328349555,47.67751252
S FARRAR ST / 51ST AVE S,2,-122.269812235,47.55556257
20TH AVE SW / SW BARTON ST,1,-122.359162421,47.5210292
143XX BLOCK OF 20TH AVE NE,36,-122.307336035888889,47.73297973
40XX BLOCK OF 18TH AVE SW,2,-122.356947467,47.56922664
28XX BLOCK OF NW 71ST ST,14,-122.394348848285714,47.68024598
31XX BLOCK OF 8TH AVE W,1,-122.368104452,47.64787697
45XX BLOCK OF SAND POINT WAY NE,78,-122.285797734,47.66206303
50XX BLOCK OF 26TH AVE SW,72,-122.365511997027778,47.559290829583333
35XX BLOCK OF WOODLAWN AVE N,17,-122.338718049470588,47.649860411176471
9XX BLOCK OF VIRGINIA ST,13,-122.335306387384615,47.61671742
14XX BLOCK OF NW 53RD ST,29,-122.374903489517241,47.66716083
36XX BLOCK OF 23RD AVE W,34,-122.385989174088235,47.65306401
36XX BLOCK OF E CHERRY ST,15,-122.286683027,47.60791156
S DEARBORN ST / 25TH AVE S,2,-122.300055412,47.59556628
7XX BLOCK OF NW 58TH ST,6,-122.365632909,47.67088988
I5 / SWIFT AV S,1,-122.304757582,47.54474829
65XX BLOCK OF 18TH AVE SW,46,-122.357154115,47.54472315
BROADWAY / HARVARD AVE,2,-122.320760065,47.61125935
S ROSE ST / WABASH AVE S,6,-122.269694204,47.529311
2XX BLOCK OF BROADWAY E,869,-122.320882285321059,47.620491800805524
MYERS WAY S / OLSON PL SW,17,-122.334841353,47.52232234
68XX BLOCK OF 49TH AVE NE,20,-122.2756188333,47.6785123785
N 46TH ST / BAGLEY AVE N,3,-122.332537898,47.66262684
E GALER ST / 16TH AVE E,3,-122.311215442,47.6323269
28XX BLOCK OF NE 127TH ST,61,-122.297028271934426,47.72109701295082
39XX BLOCK OF E PINE ST,4,-122.282681825,47.615231915
10XX BLOCK OF BOYLSTON AVE E,13,-122.323524086615385,47.62826983
42XX BLOCK OF S MORGAN ST,12,-122.280296931,47.54421756
49XX BLOCK OF SW NIESZ CT,1,-122.393605127,47.58300875
JAMES ST / 5TH AVE,3,-122.32918704,47.60369752
88XX BLOCK OF 18TH AVE SW,74,-122.357785591324324,47.52378257
15XX BLOCK OF NE 96TH ST,4,-122.310636105,47.69851355
S DELLA ST / S WALDEN ST,1,-122.29776952,47.57170865
16TH AVE S / S HOLGATE ST,4,-122.312058545,47.58635787
3XX BLOCK OF W SMITH ST,5,-122.361585716,47.64141468
84XX BLOCK OF BEACON AVE S,30,-122.287804600733333,47.527103802666667
35XX BLOCK OF SW 112TH ST,12,-122.377093794,47.50281705
14XX BLOCK OF E UNION ST,157,-122.313473634713376,47.612914580127388
S DAWSON ST / 35TH AVE S,3,-122.289417671,47.55513253
5XX BLOCK OF 3RD AVE N,1,-122.351496243,47.62341248
2XX BLOCK OF STEWART ST,118,-122.340022023322034,47.61129654
36XX BLOCK OF AURORA AVE N,9,-122.347315096,47.65205986
11XX BLOCK OF SW HOLDEN ST,17,-122.349906393588235,47.53404804
2XX BLOCK OF MARTIN LUTHER KING JR WAY E,33,-122.29609506,47.62075981
21XX BLOCK OF E MADISON ST,28,-122.303901580857143,47.61825057
DEXTER AVE N / JOHN ST,3,-122.342391708,47.61971961
15TH AVE S / E YESLER WAY,3,-122.312877369,47.60168636
94XX BLOCK OF DELRIDGE WAY SW,182,-122.355919937428571,47.518202423626374
1XX BLOCK OF 23RD AVE E,61,-122.302524385983607,47.619668152622951
36XX BLOCK OF RAINIER AVE S,10,-122.2925313138,47.571041422
7XX BLOCK N 95TH ST,3,-122.348650455,47.69782007
13XX BLOCK OF NW 95TH ST,3,-122.373401004333333,47.697896186666667
17TH AVE S / BEACON AVE S,3,-122.310820589,47.57778441
62XX BLOCK OF ROOSEVELT WAY NE,42,-122.317363357785714,47.6737458
NW 56TH ST / 2ND AVE NW,5,-122.35902946,47.66962863
101XX BLOCK OF 3RD AVE NW,26,-122.360747074961538,47.702942668461538
5XX BLOCK OF HARRISON ST,55,-122.346912529381818,47.622072382727273
46TH AVE S / S KENYON ST,7,-122.27530963,47.53155653
CALIFORNIA AVE SW / SW BRADFORD ST,1,-122.386768274,47.56928052
16XX BLOCK OF W ARMORY WAY,43,-122.377436512,47.63833046
35TH AVE NE / NE 120TH ST,6,-122.291503107,47.71550622
