,BlockGroup,crime_count
293,530330078003,923
294,530330078004,879
295,530330079001,1169
296,530330079002,1225
297,530330079003,937
298,530330079004,1424
299,530330079005,1787
300,530330080011,2316
301,530330080012,4980
302,530330080013,1303
303,530330080014,1609
304,530330080015,421
305,530330080021,6887
306,530330080022,5456
307,530330081001,11551
308,530330081002,39935
309,530330081003,6941
310,530330082001,16187
311,530330082002,2343
312,530330082003,1117
313,530330083001,2948
314,530330083002,2466
315,530330084001,5633
316,530330084002,3451
317,530330084003,3273
318,530330085001,4687
319,530330085002,4448
320,530330085003,1300
321,530330086001,3393
322,530330086002,3431
323,530330086003,3138
324,530330087001,2809
325,530330087002,1544
326,530330087003,1713
327,530330088001,1719
328,530330088002,2976
329,530330088003,1204
330,530330089001,1007
331,530330089002,1291
332,530330089003,3424
333,530330089004,1618
334,530330090001,1474
335,530330090002,9885
336,530330091001,5108
337,530330091002,6720
338,530330092001,4715
339,530330092002,9092
340,530330093001,2188
341,530330093002,9300
342,530330093003,13188
343,530330094001,1057
344,530330094002,3667
345,530330094003,2134
346,530330094004,993
347,530330094005,2001
348,530330095001,1411
349,530330095002,3507
350,530330095003,1330
351,530330095004,5056
352,530330096001,305
353,530330096002,1469
354,530330096003,470
355,530330096004,616
356,530330096005,1359
357,530330097011,916
358,530330097012,500
359,530330097013,1331
360,530330097014,820
361,530330097021,576
362,530330097022,448
363,530330097023,435
364,530330097024,387
365,530330097025,460
366,530330098001,2007
367,530330098002,529
368,530330098003,828
369,530330098004,1261
370,530330098005,1111
371,530330099001,1020
372,530330099002,1717
373,530330099003,1426
374,530330099004,2845
375,530330100011,1758
376,530330100012,1839
377,530330100013,1198
378,530330100021,756
379,530330100022,1928
380,530330100023,562
381,530330100024,789
382,530330101001,1265
383,530330101002,1533
384,530330101003,1321
385,530330101004,1442
386,530330101005,5462
387,530330102001,1172
388,530330102002,1735
389,530330102003,1015
390,530330102004,992
391,530330103001,594
392,530330103002,1674
393,530330103003,1722
394,530330103004,2246
395,530330103005,2762
396,530330104011,1066
397,530330104012,863
398,530330104013,1378
399,530330104021,1651
400,530330104022,811
401,530330104023,1249
402,530330104024,885
403,530330105001,1648
404,530330105002,953
405,530330105003,600
406,530330105004,4334
407,530330105005,1326
