GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53000109501001,530019501001,53,1,950100,1,758,10,5,96,0,60,0,587,287,633,194000
G53000109501002,530019501002,53,1,950100,2,956,49,8,45,11,103,3,737,570,733,131600
G53000109501003,530019501003,53,1,950100,3,555,46,94,90,43,86,20,176,297,548,68600
G53000109502001,530019502001,53,1,950200,1,475,42,32,7,62,20,3,309,258,671,78700
G53000109502002,530019502002,53,1,950200,2,665,35,82,27,34,28,35,424,314,840,127100
G53000109502003,530019502003,53,1,950200,3,481,18,128,17,32,23,0,263,227,900,207500
G53000109503001,530019503001,53,1,950300,1,2128,360,400,451,97,357,210,253,467,447,
G53000109503002,530019503002,53,1,950300,2,1771,51,230,174,213,50,404,649,510,830,264300
G53000109503003,530019503003,53,1,950300,3,1299,0,255,0,237,158,33,616,383,,131600
G53000109503004,530019503004,53,1,950300,4,761,130,18,135,25,44,115,294,248,645,141100
G53000109503005,530019503005,53,1,950300,5,1099,0,98,58,204,121,0,618,314,674,
G53000109504001,530019504001,53,1,950400,1,1219,148,231,175,94,6,39,526,480,624,137500
G53000109504002,530019504002,53,1,950400,2,1808,215,278,15,168,138,93,901,473,960,137400
G53000109505001,530019505001,53,1,950500,1,1988,72,74,29,29,107,250,1427,704,753,150300
G53000109505002,530019505002,53,1,950500,2,2838,212,698,201,239,238,77,1173,739,669,137900
G53000309601001,530039601001,53,3,960100,1,1425,131,54,38,107,147,10,938,649,834,240300
G53000309601002,530039601002,53,3,960100,2,675,38,90,34,10,37,9,457,359,518,165900
G53000309601003,530039601003,53,3,960100,3,2108,65,74,18,122,128,52,1649,900,897,255000
G53000309602001,530039602001,53,3,960200,1,986,0,17,0,27,79,29,834,392,1023,212600
G53000309602002,530039602002,53,3,960200,2,1165,41,65,18,107,86,0,848,496,1346,
G53000309602003,530039602003,53,3,960200,3,766,17,95,0,18,19,21,596,392,688,288600
G53000309602004,530039602004,53,3,960200,4,1889,31,124,0,22,187,59,1466,871,988,254300
G53000309603001,530039603001,53,3,960300,1,715,53,93,55,51,35,44,384,369,470,
G53000309603002,530039603002,53,3,960300,2,835,33,93,271,15,55,8,360,464,638,98500
G53000309603003,530039603003,53,3,960300,3,819,37,60,158,30,92,0,442,412,528,118400
G53000309603004,530039603004,53,3,960300,4,875,196,75,8,206,44,7,339,365,797,153400
G53000309604001,530039604001,53,3,960400,1,1180,28,134,50,33,96,9,830,558,699,130900
G53000309604002,530039604002,53,3,960400,2,1057,50,151,49,65,226,127,389,486,568,119500
G53000309605001,530039605001,53,3,960500,1,813,44,275,43,29,0,51,371,356,540,150300
G53000309605002,530039605002,53,3,960500,2,744,58,29,28,36,12,0,581,311,744,138300
G53000309605003,530039605003,53,3,960500,3,1145,46,282,11,168,63,48,527,557,709,147700
G53000309605004,530039605004,53,3,960500,4,1092,11,96,18,35,404,0,528,417,697,146400
G53000309606001,530039606001,53,3,960600,1,811,169,118,98,124,126,88,88,383,563,122700
G53000309606002,530039606002,53,3,960600,2,1387,48,103,0,189,17,5,1025,564,688,216200
G53000309606003,530039606003,53,3,960600,3,641,38,27,27,0,111,0,438,311,730,153200
G53000309606004,530039606004,53,3,960600,4,603,17,95,102,9,0,37,343,243,630,203400
G53000500101001,530050101001,53,5,10100,1,2260,21,218,70,61,222,56,1612,1005,792,215900
G53000500101002,530050101002,53,5,10100,2,2204,0,21,0,43,23,0,2117,881,979,260100
G53000500102011,530050102011,53,5,10201,1,1819,39,14,18,0,24,0,1724,785,1690,291400
G53000500102012,530050102012,53,5,10201,2,2329,37,156,185,48,195,51,1657,876,861,189600
G53000500102013,530050102013,53,5,10201,3,909,33,60,0,13,0,34,769,348,950,187300
G53000500102021,530050102021,53,5,10202,1,500,82,0,0,30,0,0,388,381,834,241200
G53000500102022,530050102022,53,5,10202,2,1752,205,16,40,303,30,30,1128,660,647,80500
G53000500102023,530050102023,53,5,10202,3,301,15,0,0,0,0,0,286,144,,203800
G53000500102024,530050102024,53,5,10202,4,1881,139,126,77,36,134,30,1339,863,728,143500
G53000500102025,530050102025,53,5,10202,5,1861,374,475,69,196,108,44,595,1045,702,136400
G53000500103001,530050103001,53,5,10300,1,1953,0,32,0,0,230,119,1572,816,,143800
G53000500103002,530050103002,53,5,10300,2,1043,93,102,0,31,19,0,798,364,854,156100
G53000500103003,530050103003,53,5,10300,3,1106,194,0,0,152,31,15,714,485,1380,140200
G53000500103004,530050103004,53,5,10300,4,1602,20,155,14,378,77,61,897,624,940,
G53000500104001,530050104001,53,5,10400,1,1834,78,118,137,107,181,121,1092,915,901,130600
G53000500104002,530050104002,53,5,10400,2,784,17,49,13,22,116,173,394,337,948,96600
G53000500104003,530050104003,53,5,10400,3,835,18,46,33,32,60,82,564,353,698,119800
G53000500105001,530050105001,53,5,10500,1,1794,117,535,28,125,79,38,872,622,955,162100
G53000500105002,530050105002,53,5,10500,2,0,0,0,0,0,0,0,0,0,,
G53000500105003,530050105003,53,5,10500,3,1551,121,187,76,37,26,20,1084,511,1076,156000
G53000500106001,530050106001,53,5,10600,1,1372,46,89,167,40,133,0,897,545,906,150000
G53000500106002,530050106002,53,5,10600,2,1297,12,256,103,178,80,28,640,496,880,133400
G53000500106003,530050106003,53,5,10600,3,499,35,52,8,0,212,0,192,267,1104,146400
G53000500106004,530050106004,53,5,10600,4,373,0,42,0,46,5,22,258,224,969,152700
G53000500106005,530050106005,53,5,10600,5,500,0,0,0,0,0,0,500,331,1957,295500
G53000500107011,530050107011,53,5,10701,1,523,28,0,89,13,15,38,340,245,1050,133800
G53000500107012,530050107012,53,5,10701,2,1630,84,0,10,19,0,17,1500,609,1639,199000
G53000500107031,530050107031,53,5,10703,1,1086,66,309,0,8,112,25,566,380,771,130900
G53000500107032,530050107032,53,5,10703,2,734,88,0,105,0,47,0,494,311,,223700
G53000500107033,530050107033,53,5,10703,3,1528,34,267,52,87,111,62,915,531,822,107000
G53000500107051,530050107051,53,5,10705,1,1030,0,10,39,0,17,0,964,363,,327300
G53000500107052,530050107052,53,5,10705,2,577,0,0,0,0,51,0,526,214,1210,385100
G53000500107053,530050107053,53,5,10705,3,1579,17,0,10,71,0,0,1481,478,1088,209500
G53000500107054,530050107054,53,5,10705,4,2104,42,64,51,7,41,0,1899,766,1277,177800
G53000500107071,530050107071,53,5,10707,1,2186,34,178,0,60,41,0,1873,699,1418,197700
G53000500107072,530050107072,53,5,10707,2,637,0,5,0,0,48,0,584,180,1750,291700
G53000500107073,530050107073,53,5,10707,3,205,0,0,8,0,0,0,197,90,,284500
G53000500107081,530050107081,53,5,10708,1,372,0,13,0,0,0,0,359,122,,305300
G53000500107082,530050107082,53,5,10708,2,455,0,12,102,10,68,7,256,190,,
G53000500107083,530050107083,53,5,10708,3,1137,134,37,63,45,44,0,814,445,825,234600
G53000500107084,530050107084,53,5,10708,4,480,6,21,25,0,12,0,416,246,1119,155600
G53000500108031,530050108031,53,5,10803,1,1973,0,0,0,46,171,0,1756,775,,354300
G53000500108032,530050108032,53,5,10803,2,711,73,0,27,0,28,0,583,469,792,43000
G53000500108033,530050108033,53,5,10803,3,3574,78,84,108,17,460,0,2827,1290,690,270300
G53000500108034,530050108034,53,5,10803,4,1353,0,0,0,0,0,0,1353,461,,270100
G53000500108051,530050108051,53,5,10805,1,1360,0,14,0,0,0,21,1325,582,,315600
G53000500108052,530050108052,53,5,10805,2,1236,0,36,0,0,0,0,1200,567,,277100
G53000500108053,530050108053,53,5,10805,3,924,64,144,71,70,97,177,301,557,904,
G53000500108054,530050108054,53,5,10805,4,2616,168,175,22,50,65,41,2095,1155,1218,184000
G53000500108071,530050108071,53,5,10807,1,1151,12,108,13,58,0,21,939,400,,245000
G53000500108091,530050108091,53,5,10809,1,1881,14,34,1,50,61,108,1613,818,1968,194400
G53000500108092,530050108092,53,5,10809,2,1359,111,193,163,205,43,23,621,640,863,98300
G53000500108093,530050108093,53,5,10809,3,2934,153,141,164,75,281,20,2100,1266,852,186700
G53000500108101,530050108101,53,5,10810,1,1452,4,0,0,51,0,0,1397,429,,279100
G53000500108102,530050108102,53,5,10810,2,3106,164,49,28,26,86,50,2703,1520,957,233300
G53000500108103,530050108103,53,5,10810,3,676,0,22,0,0,0,0,654,235,,248200
G53000500108111,530050108111,53,5,10811,1,1859,13,16,0,0,25,32,1773,656,,434700
G53000500108112,530050108112,53,5,10811,2,1779,0,13,0,82,6,0,1678,584,,268500
G53000500108131,530050108131,53,5,10813,1,367,0,0,0,0,61,63,243,123,,198700
G53000500108132,530050108132,53,5,10813,2,2049,63,0,90,33,27,37,1799,715,,266100
G53000500108133,530050108133,53,5,10813,3,3739,50,81,70,342,514,31,2651,1764,1089,184100
G53000500108134,530050108134,53,5,10813,4,1285,0,0,62,260,15,0,948,445,1471,224500
G53000500108135,530050108135,53,5,10813,5,3431,28,125,75,86,86,33,2998,1240,,220700
G53000500108141,530050108141,53,5,10814,1,337,0,0,0,0,17,22,298,163,,501900
G53000500108142,530050108142,53,5,10814,2,2609,66,16,91,20,124,54,2238,895,1112,384200
G53000500109011,530050109011,53,5,10901,1,0,0,0,0,0,0,0,0,0,,
G53000500109012,530050109012,53,5,10901,2,1026,118,32,0,28,13,113,722,377,1581,150900
G53000500109013,530050109013,53,5,10901,3,896,476,23,0,10,0,68,319,237,1377,164700
G53000500109014,530050109014,53,5,10901,4,499,32,0,0,0,45,0,422,233,,169100
G53000500109015,530050109015,53,5,10901,5,1438,0,745,92,0,72,150,379,413,843,190000
G53000500109016,530050109016,53,5,10901,6,2250,160,428,274,216,139,30,1003,1264,669,173100
G53000500109021,530050109021,53,5,10902,1,1452,70,119,2,19,21,9,1212,496,,162900
G53000500109022,530050109022,53,5,10902,2,1976,16,212,136,537,243,0,832,778,817,159700
G53000500109023,530050109023,53,5,10902,3,1702,223,242,36,373,124,40,664,660,754,128300
G53000500110011,530050110011,53,5,11001,1,0,0,0,0,0,0,0,0,0,,
G53000500110012,530050110012,53,5,11001,2,760,15,0,0,99,12,62,572,488,1241,144000
G53000500110013,530050110013,53,5,11001,3,1690,237,78,49,12,143,83,1088,844,741,152900
G53000500110014,530050110014,53,5,11001,4,881,218,79,124,0,0,0,460,266,852,187500
G53000500110015,530050110015,53,5,11001,5,1050,53,153,233,125,15,64,407,332,766,101200
G53000500110016,530050110016,53,5,11001,6,451,7,41,0,14,13,13,363,258,712,157400
G53000500110021,530050110021,53,5,11002,1,1333,124,64,109,26,132,0,878,585,821,150000
G53000500110022,530050110022,53,5,11002,2,1018,211,442,23,37,117,13,175,496,708,129200
G53000500110023,530050110023,53,5,11002,3,935,6,48,18,92,62,0,709,349,872,153900
G53000500110024,530050110024,53,5,11002,4,1286,212,122,83,12,54,52,751,576,813,128400
G53000500111001,530050111001,53,5,11100,1,1099,15,109,14,136,44,83,698,528,669,135600
G53000500111002,530050111002,53,5,11100,2,962,49,14,0,121,32,0,746,382,717,117000
G53000500111003,530050111003,53,5,11100,3,1242,15,16,0,266,318,14,613,428,997,149900
G53000500111004,530050111004,53,5,11100,4,853,172,75,0,43,0,0,563,230,1257,162500
G53000500111005,530050111005,53,5,11100,5,1240,79,415,132,0,49,51,514,407,862,158400
G53000500111006,530050111006,53,5,11100,6,2516,55,47,389,57,327,36,1605,742,849,178700
G53000500112001,530050112001,53,5,11200,1,765,123,139,39,28,65,46,325,313,,123000
G53000500112002,530050112002,53,5,11200,2,965,29,356,0,20,95,0,465,335,763,112500
G53000500112003,530050112003,53,5,11200,3,947,545,210,36,18,101,0,37,335,804,94200
G53000500112004,530050112004,53,5,11200,4,1641,617,570,0,0,145,40,269,514,769,
G53000500112005,530050112005,53,5,11200,5,3669,373,695,456,1043,273,86,743,1230,790,118600
G53000500112006,530050112006,53,5,11200,6,179,0,23,13,33,22,11,77,179,532,111300
G53000500113001,530050113001,53,5,11300,1,1002,45,199,20,165,72,33,468,394,631,
G53000500113002,530050113002,53,5,11300,2,942,84,260,76,89,58,0,375,447,545,113400
G53000500113003,530050113003,53,5,11300,3,1652,267,220,111,281,40,106,627,523,676,115600
G53000500113004,530050113004,53,5,11300,4,1536,85,106,312,47,230,100,656,499,718,118300
G53000500114011,530050114011,53,5,11401,1,1261,111,121,0,67,139,85,738,529,800,162700
G53000500114012,530050114012,53,5,11401,2,613,98,7,33,63,34,0,378,341,711,112100
G53000500114013,530050114013,53,5,11401,3,1433,158,508,0,72,138,148,409,537,555,96900
G53000500114021,530050114021,53,5,11402,1,797,23,0,0,47,19,0,708,267,1701,222800
G53000500114022,530050114022,53,5,11402,2,1144,37,52,0,187,0,79,789,362,918,164600
G53000500114023,530050114023,53,5,11402,3,682,84,12,0,69,37,44,436,267,,163500
G53000500114024,530050114024,53,5,11402,4,1199,30,10,84,42,0,0,1033,447,1519,185000
G53000500114025,530050114025,53,5,11402,5,1833,24,37,314,84,199,30,1145,607,779,191200
G53000500115011,530050115011,53,5,11501,1,1345,49,97,0,12,88,25,1074,506,,159400
G53000500115012,530050115012,53,5,11501,2,1290,0,0,116,295,297,0,582,366,1102,199300
G53000500115013,530050115013,53,5,11501,3,1276,0,157,18,82,146,0,873,461,683,125500
G53000500115014,530050115014,53,5,11501,4,1733,0,114,42,287,28,15,1247,647,1137,172200
G53000500115015,530050115015,53,5,11501,5,867,35,52,0,18,30,0,732,353,,250900
G53000500115031,530050115031,53,5,11503,1,1748,13,18,62,103,35,0,1517,622,1104,359000
G53000500115032,530050115032,53,5,11503,2,2440,0,241,0,155,575,0,1469,774,,175200
G53000500115033,530050115033,53,5,11503,3,1500,23,255,0,114,120,9,979,601,872,208500
G53000500115034,530050115034,53,5,11503,4,1197,15,29,14,20,87,0,1032,449,,194300
G53000500115035,530050115035,53,5,11503,5,644,0,17,0,128,253,23,223,326,,
G53000500115036,530050115036,53,5,11503,6,1631,63,0,24,45,16,16,1467,853,,259600
G53000500115041,530050115041,53,5,11504,1,696,15,79,7,38,45,27,485,224,,252900
G53000500115042,530050115042,53,5,11504,2,2506,182,87,108,122,84,14,1909,801,1220,193300
G53000500116001,530050116001,53,5,11600,1,882,19,22,0,63,66,38,674,337,670,163100
G53000500116002,530050116002,53,5,11600,2,94,0,0,34,55,0,0,5,36,,
G53000500117001,530050117001,53,5,11700,1,2442,225,36,264,85,0,210,1622,878,719,163900
G53000500117002,530050117002,53,5,11700,2,1624,136,340,134,0,41,105,868,652,629,102200
G53000500117003,530050117003,53,5,11700,3,474,16,19,0,65,25,47,302,191,734,117500
G53000500117004,530050117004,53,5,11700,4,1518,0,0,0,0,0,0,1518,553,,197600
G53000500117005,530050117005,53,5,11700,5,1191,53,100,30,36,83,0,889,517,649,147800
G53000500118001,530050118001,53,5,11800,1,191,15,2,8,29,30,0,107,108,,
G53000500118002,530050118002,53,5,11800,2,3317,252,534,455,160,89,190,1637,989,588,160200
G53000500118003,530050118003,53,5,11800,3,3048,292,650,218,173,272,132,1311,729,726,213900
G53000500118004,530050118004,53,5,11800,4,587,0,0,0,0,0,0,587,306,868,174500
G53000500119001,530050119001,53,5,11900,1,1705,390,223,51,103,41,47,850,618,748,136100
G53000500119002,530050119002,53,5,11900,2,1306,69,104,81,51,241,15,745,526,515,106800
G53000500119003,530050119003,53,5,11900,3,948,55,55,34,14,29,0,761,418,782,123500
G53000500119004,530050119004,53,5,11900,4,1538,138,196,0,29,9,0,1166,633,589,161400
G53000500120001,530050120001,53,5,12000,1,22,0,0,0,0,0,0,22,8,,
G53000709601001,530079601001,53,7,960100,1,1390,117,55,139,95,69,0,915,630,850,210600
G53000709601002,530079601002,53,7,960100,2,876,17,98,5,52,50,7,647,795,824,283100
G53000709602001,530079602001,53,7,960200,1,879,217,32,42,17,47,46,478,1771,,322800
G53000709602002,530079602002,53,7,960200,2,1417,79,82,56,100,107,0,993,1104,955,338900
G53000709602003,530079602003,53,7,960200,3,1580,66,89,0,22,208,68,1127,1610,1159,269900
G53000709602004,530079602004,53,7,960200,4,2298,124,194,51,37,91,194,1607,1223,849,279600
G53000709603001,530079603001,53,7,960300,1,659,0,68,0,0,0,61,530,1250,,597900
G53000709603002,530079603002,53,7,960300,2,857,0,122,0,0,236,63,436,716,867,516400
G53000709603003,530079603003,53,7,960300,3,1743,127,325,0,123,12,50,1106,946,,309100
G53000709603004,530079603004,53,7,960300,4,822,55,140,72,50,13,21,471,553,494,234100
G53000709603005,530079603005,53,7,960300,5,327,16,13,0,13,13,110,162,238,425,213200
G53000709603006,530079603006,53,7,960300,6,575,37,48,0,116,116,0,258,265,791,163400
G53000709603007,530079603007,53,7,960300,7,1865,42,636,12,278,229,123,545,538,416,159400
G53000709604001,530079604001,53,7,960400,1,877,9,0,61,0,476,0,331,484,,247100
G53000709604002,530079604002,53,7,960400,2,1073,15,0,62,46,243,31,676,688,570,243400
G53000709604003,530079604003,53,7,960400,3,1378,262,141,61,140,31,39,704,1202,719,277200
G53000709605001,530079605001,53,7,960500,1,835,43,0,14,89,204,13,472,457,444,169500
G53000709605002,530079605002,53,7,960500,2,557,0,0,0,26,0,0,531,305,,314700
G53000709605003,530079605003,53,7,960500,3,1111,214,0,19,27,0,0,851,490,774,310800
G53000709605004,530079605004,53,7,960500,4,1915,0,0,0,17,0,681,1217,621,,311300
G53000709605005,530079605005,53,7,960500,5,1044,267,74,0,0,91,0,612,491,,286300
G53000709605006,530079605006,53,7,960500,6,1325,48,278,0,192,102,15,690,667,767,365100
G53000709606001,530079606001,53,7,960600,1,1167,25,110,27,31,122,6,846,509,725,191200
G53000709606002,530079606002,53,7,960600,2,1493,93,61,56,53,64,6,1160,521,929,268500
G53000709606003,530079606003,53,7,960600,3,1509,208,20,15,34,105,27,1100,658,672,209100
G53000709607001,530079607001,53,7,960700,1,2462,74,31,11,47,154,76,2069,1044,830,403100
G53000709607002,530079607002,53,7,960700,2,1175,10,88,0,7,146,2,922,429,827,245400
G53000709608011,530079608011,53,7,960801,1,2768,87,190,37,86,127,60,2181,1094,1268,359500
G53000709608021,530079608021,53,7,960802,1,2596,550,279,53,497,207,0,1010,966,831,115600
G53000709608022,530079608022,53,7,960802,2,346,33,111,72,13,42,0,75,265,558,
G53000709608023,530079608023,53,7,960802,3,1539,107,77,82,9,84,52,1128,774,853,196300
G53000709608024,530079608024,53,7,960802,4,1628,59,23,39,130,89,30,1258,671,1046,175000
G53000709608025,530079608025,53,7,960802,5,1320,200,334,266,0,158,0,362,375,1056,118300
G53000709610001,530079610001,53,7,961000,1,1037,13,31,211,42,71,0,669,507,848,
G53000709610002,530079610002,53,7,961000,2,1351,209,114,365,35,71,17,540,310,660,213300
G53000709610003,530079610003,53,7,961000,3,602,11,13,71,24,97,21,365,264,872,191100
G53000709610004,530079610004,53,7,961000,4,767,0,0,0,380,76,0,311,238,946,183000
G53000709610005,530079610005,53,7,961000,5,1107,30,69,5,53,77,41,832,510,998,169000
G53000709610006,530079610006,53,7,961000,6,680,313,50,13,0,91,70,143,448,780,123200
G53000709610007,530079610007,53,7,961000,7,584,71,13,29,13,50,13,395,392,528,158900
G53000709611001,530079611001,53,7,961100,1,1139,0,12,13,0,42,0,1072,378,792,214300
G53000709611002,530079611002,53,7,961100,2,1863,134,107,12,311,657,22,620,730,1063,185800
G53000709611003,530079611003,53,7,961100,3,2812,239,405,224,95,33,221,1595,920,724,169900
G53000709611004,530079611004,53,7,961100,4,1211,13,0,0,20,80,182,916,525,765,230600
G53000709611005,530079611005,53,7,961100,5,2271,280,229,0,63,420,71,1208,662,769,165000
G53000709611006,530079611006,53,7,961100,6,865,0,40,0,369,165,26,265,201,,202900
G53000709612001,530079612001,53,7,961200,1,2213,94,108,11,171,129,46,1654,1084,689,241900
G53000709612002,530079612002,53,7,961200,2,2139,29,381,88,196,146,305,994,659,,259900
G53000709613011,530079613011,53,7,961301,1,1350,15,28,58,6,195,30,1018,559,857,243500
G53000709613021,530079613021,53,7,961302,1,1640,39,3,0,157,13,48,1380,660,864,194500
G53000709613022,530079613022,53,7,961302,2,937,0,4,0,21,337,0,575,439,1135,246600
G53000709613023,530079613023,53,7,961302,3,1164,15,148,46,52,0,0,903,462,822,182700
G53000709613024,530079613024,53,7,961302,4,1950,46,0,0,16,92,0,1796,621,1330,283300
G53000709613025,530079613025,53,7,961302,5,1120,35,15,87,91,121,0,771,500,759,209000
G53000709613026,530079613026,53,7,961302,6,1181,134,56,193,0,11,0,787,515,749,211300
G53000900002001,530090002001,53,9,200,1,374,5,52,70,0,22,0,225,230,692,215500
G53000900002002,530090002002,53,9,200,2,564,54,152,0,0,21,0,337,398,569,152100
G53000900003001,530090003001,53,9,300,1,714,8,2,84,24,39,0,557,355,809,151100
G53000900003002,530090003002,53,9,300,2,2193,364,490,30,57,248,43,961,946,607,94400
G53000900003003,530090003003,53,9,300,3,1009,62,79,27,90,45,0,706,495,649,90800
G53000900003004,530090003004,53,9,300,4,741,0,98,25,8,240,0,370,403,630,165100
G53000900004001,530090004001,53,9,400,1,580,0,52,40,27,31,10,420,434,595,185600
G53000900004002,530090004002,53,9,400,2,960,48,129,84,23,122,20,534,476,644,142300
G53000900006001,530090006001,53,9,600,1,1143,41,48,82,39,152,15,766,534,1099,181700
G53000900006002,530090006002,53,9,600,2,298,43,28,11,2,0,0,214,469,683,225000
G53000900006003,530090006003,53,9,600,3,1858,253,132,76,73,115,14,1195,928,806,266100
G53000900007001,530090007001,53,9,700,1,1411,56,573,34,42,16,0,690,500,1009,234100
G53000900007002,530090007002,53,9,700,2,2382,140,375,39,31,157,19,1621,1043,1078,195700
G53000900008001,530090008001,53,9,800,1,1362,155,284,104,151,111,0,557,650,659,126000
G53000900008002,530090008002,53,9,800,2,1683,116,112,121,19,43,79,1193,889,899,173000
G53000900008003,530090008003,53,9,800,3,1096,32,21,15,40,19,14,955,541,1019,183000
G53000900009001,530090009001,53,9,900,1,874,84,47,58,54,103,75,453,558,532,199400
G53000900009002,530090009002,53,9,900,2,908,94,95,37,50,106,16,510,471,695,168100
G53000900009003,530090009003,53,9,900,3,983,92,21,0,68,242,20,540,483,1119,184600
G53000900010001,530090010001,53,9,1000,1,1251,102,168,104,55,93,0,729,698,628,175300
G53000900010002,530090010002,53,9,1000,2,1165,53,71,56,27,45,60,853,625,676,166700
G53000900011001,530090011001,53,9,1100,1,1416,347,15,155,34,82,66,717,569,830,191100
G53000900011002,530090011002,53,9,1100,2,714,179,191,7,0,7,0,330,281,608,201200
G53000900011003,530090011003,53,9,1100,3,1099,54,13,53,39,28,0,912,578,888,227700
G53000900012001,530090012001,53,9,1200,1,1645,181,79,29,77,127,100,1052,921,1049,184100
G53000900012002,530090012002,53,9,1200,2,1011,27,176,0,49,54,22,683,508,548,220700
G53000900012003,530090012003,53,9,1200,3,793,16,92,28,55,64,10,528,533,582,253100
G53000900013001,530090013001,53,9,1300,1,730,7,27,33,7,117,0,539,359,1185,230700
G53000900013002,530090013002,53,9,1300,2,1190,72,84,57,0,69,0,908,518,720,122000
G53000900013003,530090013003,53,9,1300,3,1522,46,123,145,79,69,6,1054,659,687,173500
G53000900014001,530090014001,53,9,1400,1,1152,76,15,18,72,60,9,902,521,661,239400
G53000900014002,530090014002,53,9,1400,2,1848,51,237,28,30,45,8,1449,879,793,248300
G53000900014003,530090014003,53,9,1400,3,1804,108,8,29,47,202,0,1410,701,1320,326500
G53000900015001,530090015001,53,9,1500,1,996,29,41,12,20,165,0,729,442,818,317800
G53000900015002,530090015002,53,9,1500,2,1344,62,299,128,33,108,57,657,497,521,239400
G53000900016001,530090016001,53,9,1600,1,1270,25,60,18,49,50,31,1037,619,,253200
G53000900016002,530090016002,53,9,1600,2,1990,131,71,70,0,177,60,1481,1006,871,229300
G53000900017001,530090017001,53,9,1700,1,1901,113,78,151,138,145,43,1233,1061,956,159200
G53000900017002,530090017002,53,9,1700,2,2629,82,227,79,195,293,0,1753,1336,1223,314400
G53000900018001,530090018001,53,9,1800,1,2011,139,25,161,153,126,46,1361,924,915,293900
G53000900018002,530090018002,53,9,1800,2,673,47,78,0,10,66,58,414,303,1000,425600
G53000900019001,530090019001,53,9,1900,1,1093,61,36,97,102,100,45,652,705,1086,224000
G53000900019002,530090019002,53,9,1900,2,899,17,34,8,85,45,0,710,451,,250700
G53000900019003,530090019003,53,9,1900,3,1862,46,14,33,14,130,98,1527,1061,882,308200
G53000900019004,530090019004,53,9,1900,4,1499,12,23,152,37,109,16,1150,818,1159,276700
G53000900020001,530090020001,53,9,2000,1,2787,85,166,13,263,284,49,1927,1354,910,294400
G53000900020002,530090020002,53,9,2000,2,2458,52,80,93,94,281,40,1818,1378,1003,206700
G53000900021001,530090021001,53,9,2100,1,1796,115,164,50,359,247,74,787,906,790,204000
G53000900021002,530090021002,53,9,2100,2,1681,119,233,135,276,82,8,828,867,783,123600
G53000900023001,530090023001,53,9,2300,1,1553,46,31,64,26,29,0,1357,880,784,386900
G53000900023002,530090023002,53,9,2300,2,1565,126,91,79,207,13,12,1037,936,867,273800
G53000900023003,530090023003,53,9,2300,3,1189,56,226,15,8,366,0,518,483,879,187700
G53000909400001,530099400001,53,9,940000,1,906,67,125,137,24,89,32,432,355,443,101400
G53000909400002,530099400002,53,9,940000,2,583,65,30,75,25,107,22,259,212,474,100800
G53000909901000,530099901000,53,9,990100,0,0,0,0,0,0,0,0,0,0,,
G53001100401011,530110401011,53,11,40101,1,1955,0,177,61,37,73,158,1449,696,1273,271800
G53001100401012,530110401012,53,11,40101,2,1893,45,416,153,78,243,186,772,598,691,283700
G53001100401013,530110401013,53,11,40101,3,1342,54,43,20,26,125,33,1041,444,833,201700
G53001100401021,530110401021,53,11,40102,1,1245,143,20,0,1,142,1,938,427,,370400
G53001100401022,530110401022,53,11,40102,2,2107,78,76,43,33,154,266,1457,790,1000,247200
G53001100402011,530110402011,53,11,40201,1,1148,20,3,0,154,56,83,832,674,,351000
G53001100402012,530110402012,53,11,40201,2,1245,114,54,0,0,57,0,1020,496,,271500
G53001100402013,530110402013,53,11,40201,3,897,37,11,99,58,18,0,674,397,1299,207500
G53001100402014,530110402014,53,11,40201,4,2100,32,85,31,24,49,97,1782,821,2077,276500
G53001100402021,530110402021,53,11,40202,1,1974,72,148,118,79,146,133,1278,712,1072,298100
G53001100402022,530110402022,53,11,40202,2,2044,25,58,46,84,114,103,1614,749,848,268100
G53001100402031,530110402031,53,11,40203,1,2461,9,82,19,270,121,190,1770,787,,302200
G53001100402032,530110402032,53,11,40203,2,1185,15,22,127,16,86,0,919,463,1053,318300
G53001100402033,530110402033,53,11,40203,3,2008,32,129,7,117,212,0,1511,717,1321,267800
G53001100403011,530110403011,53,11,40301,1,707,1,3,63,11,0,73,556,347,,362000
G53001100403012,530110403012,53,11,40301,2,788,50,62,56,0,0,0,620,262,1537,319500
G53001100403021,530110403021,53,11,40302,1,2412,24,100,47,44,202,112,1883,935,1257,246000
G53001100403022,530110403022,53,11,40302,2,3967,137,222,33,31,183,38,3323,1343,1623,338700
G53001100403023,530110403023,53,11,40302,3,535,1,3,13,1,0,16,501,208,,335700
G53001100404031,530110404031,53,11,40403,1,2594,28,36,11,296,8,60,2155,935,1428,390400
G53001100404032,530110404032,53,11,40403,2,1215,0,122,19,0,113,29,932,566,866,333500
G53001100404071,530110404071,53,11,40407,1,2517,275,185,319,129,91,0,1518,923,892,182100
G53001100404072,530110404072,53,11,40407,2,1148,108,221,54,38,53,0,674,418,793,189000
G53001100404073,530110404073,53,11,40407,3,1772,71,182,0,28,60,20,1411,715,1263,209600
G53001100404081,530110404081,53,11,40408,1,2610,122,19,41,20,71,35,2302,973,1021,379600
G53001100404082,530110404082,53,11,40408,2,844,59,124,18,9,21,16,597,266,1125,394900
