GISJOIN,BlockGroup,STATEA,COUNTYA,TRACTA,BLKGRPA,ADNEE001,ADNEE002,ADNEE003,ADNEE004,ADNEE005,ADNEE006,ADNEE007,ADNEE008,ADPYE001,ADRKE001,ADRWE001
G53003300080022,530330080022,53,33,8002,2,1390,107,116,81,27,130,0,929,1082,1290,355900
G53003300081001,530330081001,53,33,8100,1,1852,28,14,14,30,15,0,1751,1659,1860,453600
G53003300081002,530330081002,53,33,8100,2,1040,283,394,28,21,24,22,268,535,,557700
G53003300081003,530330081003,53,33,8100,3,1196,67,285,80,33,71,15,645,1123,668,670600
G53003300082001,530330082001,53,33,8200,1,1209,80,80,40,34,16,0,959,994,1214,1093800
G53003300082002,530330082002,53,33,8200,2,1609,221,133,45,83,88,71,968,1008,1395,
G53003300082003,530330082003,53,33,8200,3,1000,75,83,6,72,20,21,723,893,995,313800
G53003300083001,530330083001,53,33,8300,1,1205,36,97,64,54,73,8,873,967,991,311400
G53003300083002,530330083002,53,33,8300,2,1563,102,87,51,103,116,71,1033,1092,1249,323000
G53003300084001,530330084001,53,33,8400,1,1372,158,51,66,74,268,12,743,1130,967,274000
G53003300084002,530330084002,53,33,8400,2,1363,78,139,18,21,125,87,895,1090,1193,1017500
G53003300084003,530330084003,53,33,8400,3,1355,125,43,31,73,51,80,952,995,918,350500
G53003300085001,530330085001,53,33,8500,1,1255,82,72,61,16,113,28,883,944,1059,237500
G53003300085002,530330085002,53,33,8500,2,992,217,132,73,89,91,22,368,685,873,326400
