county,tract,bg,state,BlockGroup,sduni14,sdelm14,sdsec14,sdbest14,sdbesttype14,cd114,hsa,stab,cntyname,eschlnm14,sschlnm14,uschlnm14,bschlnm14,hsaname,intptlon,intptlat,pop14,afact
53033,7.00,1,53,530330007001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.294386,47.717575,1682.283566,1
53033,7.00,2,53,530330007002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.297817,47.715173,1223.478957,1
53033,7.00,3,53,530330007003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.308116,47.717395,930.533291,1
53033,7.00,4,53,530330007004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.307772,47.713959,943.457365,1
53033,8.00,1,53,530330008001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.287134,47.71558,1257.943153,1
53033,8.00,2,53,530330008002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.285128,47.708422,1523.963665,1
53033,9.00,1,53,530330009001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.279718,47.712588,1177.167694,1
53033,9.00,2,53,530330009002,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.267523,47.707391,0,0
53033,9.00,2,53,530330009002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.275656,47.70359,997.307671,1
53033,10.00,1,53,530330010001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.297539,47.70939,971.459524,1
53033,10.00,2,53,530330010002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.296535,47.703736,1119.009363,1
53033,11.00,1,53,530330011001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.30569,47.709235,1317.17849,1
53033,11.00,2,53,530330011002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.306922,47.704156,1378.567839,1
53033,12.00,1,53,530330012001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.315131,47.706335,1359.181729,1
53033,12.00,2,53,530330012002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.31998,47.704764,1237.480036,1
53033,12.00,3,53,530330012003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.321148,47.709422,1452.881261,1
53033,12.00,4,53,530330012004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.326463,47.710574,1310.716453,1
53033,12.00,5,53,530330012005,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.33192,47.707092,1633.81829,1
53033,13.00,1,53,530330013001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.337722,47.703276,1715.670756,1
53033,13.00,2,53,530330013002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.345464,47.70496,1465.805335,1
53033,13.00,3,53,530330013003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.345732,47.699785,1492.730488,1
53033,14.00,1,53,530330014001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.35525,47.710603,1154.550565,1
53033,14.00,2,53,530330014002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.35652,47.707059,1153.473559,1
53033,14.00,3,53,530330014003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.363782,47.702712,1464.728329,1
53033,14.00,4,53,530330014004,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.383081,47.71113,0,0
53033,14.00,4,53,530330014004,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.371572,47.703849,1448.573237,1
53033,15.00,1,53,530330015001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.390472,47.69612,1297.792379,1
53033,15.00,2,53,530330015002,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.401457,47.700548,0,0
53033,15.00,2,53,530330015002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.396578,47.694814,1345.180649,1
53033,16.00,1,53,530330016001,7710, , ,7710,u,7, ,WA,King WA,53,53,Seattle School District,Seattle School District, ,-122.390102,47.705697,0,0
53033,16.00,1,53,530330016001,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.37944,47.703276,1480.883421,1
53033,16.00,2,53,530330016002,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.383928,47.696418,1445.342218,1
53033,16.00,3,53,530330016003,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.377897,47.693235,1522.886659,1
53033,17.01,1,53,530330017011,7710, , ,7710,u,7,50054,WA,King WA,53,53,Seattle School District,Seattle School District,WA- SEATTLE,-122.355932,47.691972,1728.594829,1
